date,material_id,material_name,unit,daily_demand,stock_level,reorder_point,lead_time_days,unit_cost
2023-12-20,1,Cemento Portland,Sacos,62.82,600.0,200,3,185.5
2023-12-21,1,Cemento Portland,Sacos,51.66,548.34,200,3,185.5
2023-12-22,1,Cemento Portland,Sacos,18.12,530.22,200,3,185.5
2023-12-23,1,Cemento Portland,Sacos,1.81,528.41,200,3,185.5
2023-12-24,1,Cemento Portland,Sacos,20.83,507.58,200,3,185.5
2023-12-25,1,Cemento Portland,Sacos,29.57,478.01,200,3,185.5
2023-12-26,1,Cemento Portland,Sacos,29.93,448.08,200,3,185.5
2023-12-27,1,Cemento Portland,Sacos,14.24,433.84,200,3,185.5
2023-12-28,1,Cemento Portland,Sacos,32.63,401.21,200,3,185.5
2023-12-29,1,Cemento Portland,Sacos,43.2,358.01,200,3,185.5
2023-12-30,1,Cemento Portland,Sacos,71.11,286.9,200,3,185.5
2023-12-31,1,Cemento Portland,Sacos,23.42,263.48,200,3,185.5
2024-01-01,1,Cemento Portland,Sacos,67.64,195.84,200,3,185.5
2024-01-02,1,Cemento Portland,Sacos,58.0,137.85,200,3,185.5
2024-01-03,1,Cemento Portland,Sacos,58.77,579.07,200,3,185.5
2024-01-04,1,Cemento Portland,Sacos,64.28,514.79,200,3,185.5
2024-01-05,1,Cemento Portland,Sacos,40.15,474.64,200,3,185.5
2024-01-06,1,Cemento Portland,Sacos,60.78,413.87,200,3,185.5
2024-01-07,1,Cemento Portland,Sacos,89.31,324.55,200,3,185.5
2024-01-08,1,Cemento Portland,Sacos,109.28,215.28,200,3,185.5
2024-01-09,1,Cemento Portland,Sacos,100.81,114.46,200,3,185.5
2024-01-10,1,Cemento Portland,Sacos,93.19,21.27,200,3,185.5
2024-01-11,1,Cemento Portland,Sacos,84.57,500.0,200,3,185.5
2024-01-12,1,Cemento Portland,Sacos,94.85,405.15,200,3,185.5
2024-01-13,1,Cemento Portland,Sacos,78.47,326.68,200,3,185.5
2024-01-14,1,Cemento Portland,Sacos,50.83,275.86,200,3,185.5
2024-01-15,1,Cemento Portland,Sacos,110.49,165.36,200,3,185.5
2024-01-16,1,Cemento Portland,Sacos,87.79,77.57,200,3,185.5
2024-01-17,1,Cemento Portland,Sacos,97.45,500.0,200,3,185.5
2024-01-18,1,Cemento Portland,Sacos,94.6,405.4,200,3,185.5
2024-01-19,1,Cemento Portland,Sacos,82.95,322.44,200,3,185.5
2024-01-20,1,Cemento Portland,Sacos,93.6,228.85,200,3,185.5
2024-01-21,1,Cemento Portland,Sacos,99.29,129.55,200,3,185.5
2024-01-22,1,Cemento Portland,Sacos,76.32,53.24,200,3,185.5
2024-01-23,1,Cemento Portland,Sacos,110.21,500.0,200,3,185.5
2024-01-24,1,Cemento Portland,Sacos,77.33,422.67,200,3,185.5
2024-01-25,1,Cemento Portland,Sacos,85.67,337.0,200,3,185.5
2024-01-26,1,Cemento Portland,Sacos,87.16,249.84,200,3,185.5
2024-01-27,1,Cemento Portland,Sacos,81.48,168.36,200,3,185.5
2024-01-28,1,Cemento Portland,Sacos,102.93,65.43,200,3,185.5
2024-01-29,1,Cemento Portland,Sacos,93.16,500.0,200,3,185.5
2024-01-30,1,Cemento Portland,Sacos,97.65,402.35,200,3,185.5
2024-01-31,1,Cemento Portland,Sacos,86.13,316.22,200,3,185.5
